iter	Logloss
0	0.6865395339
1	0.6804721092
2	0.6747773651
3	0.6696098498
4	0.665161862
5	0.6607224684
6	0.6571337681
7	0.6537308551
8	0.650478433
9	0.6472603018
10	0.644074958
11	0.6413568961
12	0.6389974805
13	0.6369175649
14	0.6347108009
15	0.6328716585
16	0.6309727372
17	0.6290569203
18	0.6276096638
19	0.6261176851
20	0.6248413736
21	0.6234398079
22	0.6221472359
23	0.6209253006
24	0.6197718188
25	0.6186087241
26	0.6176227196
27	0.6167200275
28	0.6159755568
29	0.6151016776
30	0.6143818943
31	0.6135590698
32	0.6129873822
33	0.6121176532
34	0.6112757023
35	0.610942311
36	0.6104786871
37	0.6098522076
38	0.6092336682
39	0.6086672498
40	0.6081742449
41	0.607619232
42	0.6072139478
43	0.6066059185
44	0.6060471847
45	0.6056589903
46	0.6052510852
47	0.6047977726
48	0.6042892638
49	0.6037418295
50	0.6033637484
51	0.6028961126
52	0.602570043
53	0.6023208981
54	0.6021532698
55	0.6018549964
56	0.6013992348
57	0.6009151436
58	0.60063106
59	0.600352177
60	0.6000703518
61	0.5997277428
62	0.5993018681
63	0.599048486
64	0.5988229423
65	0.5985016274
66	0.5982798992
67	0.598101375
68	0.5976769985
69	0.5974904649
70	0.5972899493
71	0.5970405398
72	0.5969396547
73	0.596632637
74	0.5964784293
75	0.5963507688
76	0.5961758207
77	0.5958807133
78	0.5956480656
79	0.5954663233
80	0.5952135891
81	0.595150768
82	0.5948212585
83	0.5946091139
84	0.5943518762
85	0.5942022218
86	0.593900654
87	0.5937445599
88	0.593648815
89	0.5934973857
90	0.5932910438
91	0.593169589
92	0.5930537346
93	0.5928508834
94	0.5927263555
95	0.5925701331
96	0.5923748149
97	0.5922489506
98	0.5921379505
99	0.5920290948
100	0.5919029855
101	0.591659641
102	0.5916297692
103	0.5915200386
104	0.5914177454
105	0.5913392615
106	0.5912001662
107	0.5910181759
108	0.5909516369
109	0.5908404752
110	0.5906474715
111	0.59053592
112	0.5904127183
113	0.5902177859
114	0.5900976844
115	0.5898383671
116	0.589735463
117	0.58962633
118	0.5894995891
119	0.5893315793
120	0.589174165
121	0.5890519698
122	0.5888712297
123	0.5886934695
124	0.5885000106
125	0.5883919148
126	0.5882706119
127	0.5881557969
128	0.5880417225
129	0.5879346896
130	0.5878260925
131	0.5876949232
132	0.5876071248
133	0.5875163255
134	0.5874268733
135	0.5873362443
136	0.5872645978
137	0.5871872601
138	0.5870765471
139	0.5869768018
140	0.5868402689
141	0.5867519522
142	0.586687445
143	0.5866354881
144	0.5864371074
145	0.5863459641
146	0.5862861751
147	0.5862104811
148	0.5861131166
149	0.5859145408
150	0.5858102004
151	0.5857977487
152	0.5857195336
153	0.5855908523
154	0.585499385
155	0.5853832966
156	0.5853537224
157	0.5852891611
158	0.5852483065
159	0.5851947625
160	0.5851500218
161	0.585087923
162	0.5850579924
163	0.5849220273
164	0.5848564886
165	0.5847423236
166	0.5846614219
167	0.5845331856
168	0.5844044563
169	0.5843177638
170	0.5842413963
171	0.5841509664
172	0.5840838268
173	0.5839855688
174	0.5839498488
175	0.5839031569
176	0.5838097002
177	0.58365072
178	0.583527528
179	0.583523092
180	0.5834523874
181	0.5833955602
182	0.5833350762
183	0.5832654344
184	0.5832125939
185	0.5831258742
186	0.5829838618
187	0.5829503403
188	0.5829091496
189	0.5828205696
190	0.582758002
191	0.5827194706
192	0.5826667582
193	0.5825958235
194	0.5825351831
195	0.5824520672
196	0.5823083047
197	0.5823012556
198	0.5822641099
199	0.5821637077
200	0.5820769693
201	0.5820244688
202	0.581923251
203	0.5818976699
204	0.5818443174
205	0.5817329104
206	0.5815540646
207	0.5814914497
208	0.5814287994
209	0.5813525627
210	0.5812775441
211	0.5811711153
212	0.5811551472
213	0.5810650984
214	0.5809705224
215	0.5809183692
216	0.5808224199
217	0.5806830818
218	0.5805683454
219	0.5805044016
220	0.5804379877
221	0.5803659329
222	0.5802598159
223	0.5802100121
224	0.5801415202
225	0.580044192
226	0.579976895
227	0.5799043468
228	0.5798156769
229	0.5797334958
230	0.5796323503
231	0.5795881029
232	0.5794752902
233	0.5794011985
234	0.5792776344
235	0.5791554942
236	0.5791416814
237	0.579064046
238	0.5789992847
239	0.5788450693
240	0.5787639644
241	0.578707286
242	0.5786071859
243	0.5785571791
244	0.5784400201
245	0.5783146754
246	0.5782184856
247	0.5781838333
248	0.5780767842
