SK_ID_CURR,TARGET,OOF_PRED,EXT_SOURCE_2,EXT_SOURCE_3,AMT_CREDIT,AMT_ANNUITY,AMT_INCOME_TOTAL,AGE_YEARS,INS_LATE_RATIO,POS_DPD_RATIO,CC_DPD_RATIO
136391,1,0.0069728566671354,0.7309405526125566,0.8004513396487078,983299.5,39123.0,382500.0,46.99,0.0,0.0,
354619,1,0.0268682217024369,0.6298377891357363,0.6413682574954046,1154520.0,45913.5,234000.0,58.87,0.0,0.0,
247412,1,0.0297008284961832,0.6692220266664742,0.6577838002083306,1971072.0,68643.0,171000.0,40.95,0.0,0.0,
426759,1,0.030111021715314,0.7327129998554075,0.5064842396679806,900000.0,24133.5,202500.0,54.18,0.025,0.0,
267336,1,0.0305490038489874,0.7227439952365384,0.5971924268337128,679500.0,64647.0,315000.0,57.94,0.0,0.0,
173242,1,0.0317404972124679,0.8092304188575485,0.7801436381572275,1339884.0,36976.5,144000.0,63.15,0.09090909090909091,0.029411764705882353,
193524,1,0.0339586941409911,0.7493435334360041,,1009566.0,33493.5,112500.0,63.9,0.0,0.0,
224059,1,0.03633751043501,0.6739533898492436,0.5989262182569273,1575000.0,41679.0,225000.0,42.61,0.0,0.0,
319477,1,0.0367492725872706,0.6828696531011698,0.6041125998015721,203760.0,10854.0,202500.0,38.51,0.04225352112676056,0.043478260869565216,0.021052631578947368
405180,1,0.0417216452084814,0.7306049721427328,0.7922644738669378,1350000.0,53662.5,211500.0,47.75,0.0,0.0,0.0
294638,1,0.0435755565263358,0.7486158328715714,0.511891801533151,407520.0,32328.0,405000.0,46.42,0.0,0.0,0.0
283795,1,0.0438717007878247,0.6660534511073483,0.6075573001388961,679500.0,19993.5,157500.0,62.59,0.0,0.0,
301661,1,0.0446903753914324,0.5578385093815359,0.7838324335199619,270000.0,13500.0,180000.0,46.42,0.0,0.0,
433348,1,0.0449605588222621,0.7869062494834169,,935640.0,88834.5,247500.0,38.44,0.1864406779661017,0.07692307692307693,0.0
205586,1,0.0457150351967939,0.7326915860644246,0.4118485559242397,1971072.0,62019.0,387000.0,39.62,0.0,0.0,
116320,1,0.0457169908961169,0.7626841719393695,0.7850520263728172,127350.0,12532.5,36000.0,67.94,0.07692307692307693,0.0,
135697,1,0.0476557537302809,0.7106597081424562,0.4686596550493113,135000.0,6750.0,157500.0,21.81,0.125,0.0,
203427,1,0.0479237928272632,0.6709092415076225,0.6848276586890367,765000.0,22495.5,135000.0,51.58,0.0,0.0,
180704,1,0.050490697830408,0.7934356445896995,0.4543210601605785,1230039.0,52114.5,315000.0,41.13,0.0,0.0,0.0
205817,1,0.0505074358024323,0.6828838597757076,0.7958031328748403,159264.0,5571.0,85500.0,58.6,0.0,0.0,0.0
